codsem,Libsem,codniv,codfil1,libfil1,codfil2,libfil2,codfil3,libfil3,codfil4,libfil4,codfil5,libfil5,codfil6,libfil6,codfil7,libfil7,codfil8,libfil8,typjour,ordtypjour,fourche,ordfourche1,fourche1,valfil1,valfil2,valfil3,valfil4,valfil5,valfil6,valfil7,valfil8,lapage
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Lundi,01,13H-17H,01,13H-17H,M. WALVEDE,,M. WALVEDE,M. MBONDO,,,,Dr EKINLEH,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Lundi,01,13H-17H,02,-Matière,Servomechanism and robotics,,Servoing,Design graphique IV,,,,Nursing care to the bloc oparator,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Lundi,01,13H-17H,03,-Salle,RDC01,,RDC02,ETA201,,,,ETA204,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mardi,02,08H-12H,01,08H-12H,,M. TCHIENTCHEU,,M. MBONDO,,M. YAMBOP,M. AMINOU,Mme TCHUENTE,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mardi,02,08H-12H,02,-Matière,,Réseaux Informatiques et Téléinformatique II,,Design graphique IV,,Analysis and design drawing IV,"Capteurs,actionneurs et systèmes de bus de données",Obstrical Pathology,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mardi,02,08H-12H,03,-Salle,,ETA303,,ETA201,,RDC05,ETA202,ETA204,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mardi,02,13H-17H,01,13H-17H,,M. TCHIENTCHEU,,M. MBONDO,,M. YAMBOP,M. AMINOU,M. NGOMSI,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mardi,02,13H-17H,02,-Matière,,Réseaux Informatiques et Téléinformatique II,,Design graphique IV,,Analysis and design drawing IV,"Capteurs,actionneurs et systèmes de bus de données",TIC,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mardi,02,13H-17H,03,-Salle,,ETA303,,ETA201,,RDC05,ETA202,ETA203,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mercredi,03,08H-12H,01,08H-12H,,M. BIBOUM,M. FOTSO,M. MBONDO,,M. YAMBOP,M. LADJOU,,1
