annee,codsem,codfil,codniv,typjour,heure,codpro,codmat
2025/2026,S011225-071225,BTSET,01,Lundi,08,CHBRUKO,INFORGEN1
2025/2026,S011225-071225,BTSET,01,Lundi,09,CHBRUKO,INFORGEN1
2025/2026,S011225-071225,BTSET,01,Lundi,10,CHBRUKO,INFORGEN1
2025/2026,S011225-071225,BTSET,01,Lundi,11,CHBRUKO,INFORGEN1
2025/2026,S011225-071225,BTSET,01,Lundi,13,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,01,Lundi,14,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,01,Lundi,15,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,01,Lundi,16,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,01,Mardi,08,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,BTSET,01,Mardi,09,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,BTSET,01,Mardi,10,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,BTSET,01,Mardi,11,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,BTSET,01,Mercredi,08,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,01,Mercredi,09,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,01,Mercredi,10,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,01,Mercredi,11,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,01,Samedi,08,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,BTSET,01,Samedi,09,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,BTSET,01,Samedi,10,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,BTSET,01,Samedi,11,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,BTSET,01,Samedi,13,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,01,Samedi,14,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,01,Samedi,15,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,01,Samedi,16,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,01,Vendredi,13,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,01,Vendredi,14,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,01,Vendredi,15,CHGOMA,TECHMESUR
