annee,code,libelle
2025/2026,MEDECISCO,Médecine Scolaire
2025/2026,MEDECITRA,Médécine de travail
2025/2026,MEDEMEDIC,Médécine Médicale
2025/2026,MEDICENGL,Medical english
2025/2026,MEDICENTO,Medical Entomology
2025/2026,MEDICFREN,Medical French
2025/2026,MEDICMYCO,Medical Mycologie
2025/2026,MEDIMAGIG,MEDICAL IMAGING 
2025/2026,MEDIPSYCH,Medical Psychology
2025/2026,MEMOSEMIN,Mémoire et séminaire
2025/2026,MENTALHEA,Mental health
2025/2026,METALLOGR,Métallographie 
2025/2026,METALLURG,Métallurgie I
2025/2026,METDRAINT,Methodology of drafting the internship report
2025/2026,METHCONST,Méthodologie de construction
2025/2026,METHREDRS,Méthodologie de rédaction du rapport de stage
2025/2026,METHTRAVA,Méthode de travail 
2025/2026,METOUTMAC,Méthodes et outillages et machines-outils I
2025/2026,METREDMEM,Méthodologie de rédaction du mémoire
2025/2026,METROLOGI,Métrologie
2025/2026,MICROALIM,Microbiologie des aliments
2025/2026,MICROBIOA1,Microbiology I
2025/2026,MICROBIOA2,Microbiology II
2025/2026,MICROBIOF1,Microbiologie I
2025/2026,MICROBIOF2,Microbiologie II
2025/2026,MICROENVA,Microbiologie of the environment
2025/2026,MICROENVF,Microbiologie de lenvironnement
2025/2026,MICROFOOD,Microbiology of food
2025/2026,MICROPRO1,Microprocesseur I
2025/2026,MICROPRO2,Microprocesseur II 
2025/2026,MINPROINF,Mini Projet Informatique
2025/2026,MISESIPRO,Mise en Situation Professionel
2025/2026,MISETUMAT,Mise en situation maternité 
2025/2026,MISSIPRO1,Mise en Situation Professionel 1
2025/2026,MISSIPRO2,Mise en Situation Professionel 2
2025/2026,MISSIPRO3,Mise en Situation Professionel 3
2025/2026,MODASSORD,Modélisme assisté par ordinateur
2025/2026,MODNUMCOM,Modulation numérique et notion de compression
2025/2026,MONTMAQUE,Montage des maquettes
2025/2026,MONTMULME,Montage multimédia
2025/2026,MONTPROJT,Montage de projets
2025/2026,MOTCOMINT,Moteur à combustion interne
2025/2026,MSPEDIATR,MSP pédiatrie 
2025/2026,MSPMATERN,MSP Maternité 
2025/2026,MUCOLOGIE,Mycologie
2025/2026,MYCOLOGIE,MYCOLOGIE II 
2025/2026,NEGACHVT1,Négociation achat vente I 
2025/2026,NEGACHVT2,Négociation achat vente II 
2025/2026,NEGINFORM,Négociations Informatiques
2025/2026,NOMADISME,Nomadisme
2025/2026,NONTISSES,Non tissés
2025/2026,NOTBASCAO,Notions de bases en CAO/DAO/CFAO
2025/2026,NURSINCAR,NURSING CARE
2025/2026,NUSCARASE,Nursing care to Anesthesia
2025/2026,NUSCAREME,Nusing Care to Emergency
2025/2026,NUSCAROPR,Nursing care to the bloc oparator
2025/2026,NUTRIHUMA,Nutrition humaine et pathologies associée
2025/2026,OBSMAIDEM,"Obstétrique, Maïeutique, Démarche Clinique"
2025/2026,OBSTETGEN,Obstetrical and Genicology
2025/2026,OBSTOIAPP,OBSTETRIQUE ET SOINS APPARENTES
2025/2026,OBSTRPATH,Obstrical Pathology
2025/2026,OBTEMARCH,Obtention marché
2025/2026,ONDEMECAN,Ondes mécaniques 
2025/2026,OPECOURT1,Opérations courantes I
2025/2026,OPECOURT2,Opérations courantes II 
2025/2026,OPESPETR1,Opérations spécifiques et Travaux fin exercice I
2025/2026,OPESPETR2,Opérations spécifiques et travaux fin exercice II
2025/2026,OPTTELECO,Optique pour les Télécoms
2025/2026,ORGAMAINT,Organisation de la maintenance II 
2025/2026,ORGANCHEM,Organic Chemistry
2025/2026,ORGATELIE,Organisation de l’atelier
2025/2026,ORGCHACAR,Organes de châssis/carrosserie
2025/2026,ORGCHANTI,Organisation des chantiers
2025/2026,ORGOFWORK,ORGANISATION OF WORK SITES
2025/2026,OUTBUREAU,Outils bureautiques
2025/2026,OUVRAGART,Ouvrage Art
2025/2026,PAO,PAO
2025/2026,PARACLIN1,Parasitologie Clinique 1
2025/2026,PARACLIN2,Parasitologie Clinique 2
2025/2026,PARACLIN3,Parasitologie Clinique 3
2025/2026,PARASCLIN,Parasitologie clinique 1
2025/2026,PARASITHO,PARASITOLOGY
2025/2026,PARASITOL,Parasitologie
2025/2026,PATHGENER,Pathologie générale 
2025/2026,PATHOBSTR,Pathologie Obstétrical 
2025/2026,PATHOCHIR,Pathologie chirurgicale
2025/2026,PATHOGYNE,Pathologies gynécologiques
2025/2026,PATHOLOGI,Pathologies by system
2025/2026,PATINFLOC,Pathologies infect et localisées
2025/2026,PATINFPAR,Pathologie infect et parasitaire
2025/2026,PATPARSYS,Pathologie par système
2025/2026,PEDIATRIE,PEDIATRIE
2025/2026,PERIPHERI,Périphériques d’E/S
2025/2026,PERSONDIS,Person with disability forces
2025/2026,PERSONRES,Person in resuscitation
2025/2026,PHARMACLI,Pharmacologie Clinique
2025/2026,PHARMACOL,Pharmacology
2025/2026,PHARMAGEN,Pharmacologie générale
2025/2026,PHARSPECI,Pharmacologie spéciale 
2025/2026,PHOTOGRA1,Photogrammetrie I
2025/2026,PHOTOGRA2,Photogrammetrie II 
2025/2026,PHYAPPGEN,Physique appliquée au Génie Civil
2025/2026,PHYSICAPT,Physique des capteurs
2025/2026,PHYSICS,Physics
2025/2026,PHYSICS1,Physics I
2025/2026,PHYSICS2,Physics II
2025/2026,PHYSICS3,Physics III
2025/2026,PHYSIGEN1,Physique générales I
2025/2026,PHYSIGEN2,Physiques générales II
2025/2026,PHYSIGENE,Physique générale
2025/2026,PHYSIOLOG,Physiologie
2025/2026,PHYSIQUE1,Physiques 1
2025/2026,PHYSIQUE2,Physiques II
2025/2026,PHYSIQUE3,Physiques III
2025/2026,PHYSIQUES,Physiques
2025/2026,PLANIFAMI,Planification familiale
2025/2026,PLANNCARE,Planning care
2025/2026,PLANSOINS,Planification des Soins 
2025/2026,PMACHINI2,P machining II
2025/2026,PMANUFAC1,P manufacture I
2025/2026,POSPARTU2,Post partum
2025/2026,POTGEOOND,Optique géométrique et ondulatoire
2025/2026,POWELECON,Power electronics and actuator control
2025/2026,PRAPROINF,Pratique Professionnelle Infirmière
2025/2026,PRATICE,Pratice
2025/2026,PRAWORAUT,Practical Work Automation and Logic
2025/2026,PRAWOREL2,Practical Work Electronic P II
2025/2026,PRAWORELE,Practical Work in Electronic
2025/2026,PRAWORICT,Practical Work ICT
2025/2026,PRAWORMAC,Practical Work : Electrical Machines II
2025/2026,PRECIME,PCIME
2025/2026,PREMSECOU,Premier Secours
2025/2026,PRESESNOR,Préparation session normale
2025/2026,PRESPYACC,Préparation Psychoprophylactique À L’Accouchement
2025/2026,PREVINFEC,Prévention des infections 
2025/2026,PRIBUSLAW,Principles of business lawl
2025/2026,PRIGENCPT,Principes généraux de la comptabilité 
2025/2026,PRINCMANG,Principles of management 
2025/2026,PRIOHEATH,The priority Program of Health in Cameroon
2025/2026,PRISPARAM,Prise de paramètres
2025/2026,PROASSORD,Programmation assistée par ordinateur
2025/2026,PROBABIL1,Probabilités I
2025/2026,PROBABIL2,Probabilités II
2025/2026,PROBABILI,Probabilité
2025/2026,PROBETARM,Projets béton armé
2025/2026,PROCEFABR,Procédés de fabrication 
2025/2026,PRODUFISC,Introduction à la fiscalité  
2025/2026,PROEVEIHM,Programmation évènementielle et IHM II
2025/2026,PROFINAN1,Introduction To Financial Analysis I
2025/2026,PROFINAN2,Introduction To Financial Analysis II
2025/2026,PROFINTER,Professional Internship
2025/2026,PROGENCO1,Procédés généraux de construction I
2025/2026,PROGENCO2,Procédés généraux de construction II
2025/2026,PROGEVEN1,Programmation Evènementielle I
2025/2026,PROGEVEN2,Programmation évènementielle II
2025/2026,PROGPROCE,Programmation procédurale
2025/2026,PROGRWEB1,Programmation web 1 
2025/2026,PROGRWEB2,Programmation web II
2025/2026,PROGRWEB3,Programmation web III
2025/2026,PROGSTRUC,Programmation Structurée
2025/2026,PROINVMAN,Procurement and inventory management
2025/2026,PROJACADE,Projet académique
2025/2026,PROJECTS,Projects
2025/2026,PROJERECH,Projet De Recherche
2025/2026,PROJSANTE,Projets santé
2025/2026,PROMISFOR,Procédés de mise en forme des Matériaux 
2025/2026,PROORIOBJ,Programmation orientée objet
2025/2026,PROPAONDE,Propagation des ondes
2025/2026,PROPHYBOI,Propriétés physiques du bois 
2025/2026,PROPRODU1,Production et productique I 
2025/2026,PROPRODU2,Production et Productique II 
2025/2026,PRORECHER,Projet de recherche
2025/2026,PRORECOP1,Probabilités et recherche opérationnelle I
2025/2026,PRORECOP2,Probabilités et recherche opérationnelle II
2025/2026,PROSANPRI,Programme de santé prioritaire
2025/2026,PROSTAINF,Probabilité statistique inférencielle
2025/2026,PROTECREA,Procédés et techniques de réalisation
2025/2026,PROTERMOB,Programmation pour terminaux mobiles
2025/2026,PROTUTRAP,Projet Tutore Et Rapport de Stage
2025/2026,PSS,PSS
2025/2026,PSYCHIATR,psychiatrie
2025/2026,PSYCHOLOG,Psychologie
2025/2026,PUECULTUR,Puericulture
2025/2026,PUESOIAPP,PUERICULTURE ET SOINS APPARENTES
2025/2026,QHSE,QHSE anglais
2025/2026,QHSEF,QHSE francais
2025/2026,QUANTECHN,Quantitative technics
2025/2026,QUASERAUT,Qualité pour service automobile
2025/2026,REAMONFLU,Réaliser montage fluidique et électrique équipement frigorifique monoposte a température négative
2025/2026,REANIMATI,Réanimation
2025/2026,RECHOPER1,Recherche opérationnelle I
2025/2026,RECHOPER2,Recherche opérationnelle II
2025/2026,RECHOPERA,Recherche opérationnelle
2025/2026,REDACMERE,Rédaction Mémoire 
2025/2026,REDCPTREN,Rédaction compte rendu
2025/2026,REDPROREC,Rédaction du projet de recherche
2025/2026,REDRAPSTA,Rédaction de rapports de stage
2025/2026,REGESTENG,Régulation et Gestion de l energie
2025/2026,REGFONDOM,Régime foncier et domanial
2025/2026,REGUASSE1,Régulation et Asservissements I
2025/2026,REGUASSE2,Régulation et Asservissements II
2025/2026,REINCONCR,Reinforced concrete I
2025/2026,REMACOEQF,Réaliser maintenance corective équipement frigorifique monoposte ou thermodynamique
2025/2026,REMAPREQF,Réaliser maintenance preventive équipement frigorifique monoposte ou thermodynamique
2025/2026,REMISEETN,Réaliser la mise en service équipement frigorifique monoposte a température négative
2025/2026,REMISEETP,Réaliser la mise en service équipement frigorifique monoposte a température positive
2025/2026,RESEATRAN,Réseau de Transmission 
2025/2026,RESEAUINF,Réseau d information
2025/2026,RESEMOBIL,Réseaux mobiles
2025/2026,RESETENDU,Réseau étendu et technologie IP
2025/2026,RESINDUST,Réseaux industriels
2025/2026,RESINFTE1,Réseaux informatique et Téléinformatique I
2025/2026,RESINFTE2,Réseaux Informatiques et Téléinformatique II
2025/2026,RESISMAT1,Résistance des matériaux I
2025/2026,RESISMAT2,Résistance des matériaux II
2025/2026,RESISMAT3,Résistance des matériaux III
2025/2026,RESISMATE,Résistance des matériaux (RDM)
2025/2026,RESISMTER,Resistance of Materials I
2025/2026,RESLOCSAF,Réseaux locaux sans fil
2025/2026,RESMATERI,Resistance of Material II
2025/2026,RESMOBILE,Réseaux mobiles
2025/2026,RESTELINF,Réseaux et Téléinformatiques
2025/2026,RESTRANSM,Les réseaux de transmission
2025/2026,SAFTRAGOO,Safe transport of dangerous goods
2025/2026,SANGENDRO,Santé génésique et droit sexuel
2025/2026,SANGENFEM,"Santé Génésique Des Femmes, Pharmacologie"
2025/2026,SANTECOMM,Santé communautaire
2025/2026,SANTEDEV,Santé et développement 
2025/2026,SANTENVIR,Santé Environnementale
2025/2026,SANTEPUBL,Santé publique 
2025/2026,SCHELCFRO,schema electrique applique au froid 
2025/2026,SCHEMAELE,Schémas électrique
2025/2026,SCHOMEDEC,Elements of school medicine
2025/2026,SCIDESMAT,Science des materiaux
2025/2026,SCIENPHY1,Sciences physiques I
2025/2026,SCIHUMSOC,Sciences Humaines Et Sociales
2025/2026,SCRLINPOW,"Scripting Linux Et Power
Shell"
2025/2026,SECAVARES,Sécurité avancée des réseaux
2025/2026,SECCPREBOI,Séchage et préservation du bois 
2025/2026,SECOURISM,Secourisme
2025/2026,SELPREINS,Sélectionner et préparer l’installation équipement frigorifique monoposte
2025/2026,SEMIOCHIR,Sémiologie Chirurgicale
2025/2026,SEMIOGEN,Semiologie generale
2025/2026,SEMIOMEDI,SEMIOLOGIE MEDICALE
2025/2026,SEMIOOBST,Sémiologie Obstétricale
2025/2026,SEMIOPROD,Sémiotique des produits de luxe 
2025/2026,SEMSFMPRO,Séminaires En Sage- Femme Professionnels
2025/2026,SEMSIPROF,Séminaires En Soins Infirmiers Professionnels
2025/2026,SENSIBILI,Sensibilisation aux IST/MST/VIH-SIDA
2025/2026,SERVOING,Servoing
2025/2026,SERVOROBO,Servomechanism and robotics
2025/2026,SEURENCP1,Seuil de rentabilité et coût préétablis I
2025/2026,SEURENCP2,Seuil de rentabilité et coût préétablis II
2025/2026,SHIINTTRA,Shipping and international trade
2025/2026,SHIPREPRE,Ship representation 
2025/2026,SI2MERISE,Système d’Information II (MERISE)
2025/2026,SIG,SIG
2025/2026,SIGNAPROC,Signal Processing
2025/2026,SIGNSYSTE,Signaux et Système
2025/2026,SIMULATIO,Simulation
2025/2026,SOCANTMED,Sociologie et anthropologie médicale 
2025/2026,SOCANTPHY,Sociology anthopology and physiology
2025/2026,SOCANTPSY,Sociology - Anthropology and Psychology 
2025/2026,SOIINFCHI,Soins Infirmiers Chirurgicaux
2025/2026,SOIINFCOP,Soins Infirmiers Communautaires Et Psychiatriques
2025/2026,SOIINFMED,Soins Infirmiers Médicaux
2025/2026,SOIINTURM,Soins Intensifs Et Urgences Médicales
2025/2026,SOIMATSRP,"Soins De La Maternité, Sante De La Reproduction Et Pédiatrie"
2025/2026,SOINFIANE,Soins Infirmier en Anesthésie
2025/2026,SOINGENIC,Soins en génicologie
2025/2026,SOININFIM,Soins infirmiers + TP
2025/2026,SOININTRA,Soins intra partum
2025/2026,SOINMEDEC,Soins en médecine
2025/2026,SOINPEDIA,Soins en pédiatrie
2025/2026,SOINPERSP,Soins aux personnes atteint de deficiences special
2025/2026,SOINSANNE,Soins aux NNE
2025/2026,SOINSCHIR,Soins en chirurgie 
2025/2026,SOINSOBST,Soins Obstetricaux 
2025/2026,SOINSPOPA,Soins posts partum
2025/2026,SOINSURGE,Soins aux urgences
2025/2026,SOIPERDEM,Soins aux personnes atteintes démence spécialisée
2025/2026,SOISANPRI,Soins de santé primaire 
2025/2026,SPEOPEEN1,Specific Operations And End Of Year Adjustments
2025/2026,SPEOPEEN2,Specific Operations And End Of Year Adjustments II
2025/2026,SPORT,Sport
2025/2026,STADYNFLU,Statique et dynamique des fluides 
2025/2026,STAGECLI1,Stage clinique 1 
2025/2026,STAGECLI2,Stage clinique II
2025/2026,STAGECLI3,Stage clinique III
2025/2026,STAGECLI4,Stage clinique IV
2025/2026,STAGECLI6,Stage clinique 6 
2025/2026,STAGECLIN,Stage clinique V
2025/2026,STAGECOMM,Stage Communautaire 
2025/2026,STAGEPROF,Stage professionnel
2025/2026,STAMEDPEII,Stage de médecine et pédiatrique II 
2025/2026,STAPROSFM,Stage Professionnelle En Sage - Femme
2025/2026,STASANCO2,Stage de santé communautaire 2 
2025/2026,STATDESCR,Statistique descriptive
2025/2026,STATIQUE,STATIQUE
2025/2026,STATISTI1,Statistiques I
2025/2026,STATISTI2,Statistiques II
2025/2026,STATISTIQ,Statistique
2025/2026,STATSTIC1,Statistics I
2025/2026,STATSTIC2,Statistics II
2025/2026,STONURPRO,Story of nursing profession
2025/2026,STRDONAVA,Structure de données avancées
2025/2026,STREAMING,Streaming
2025/2026,STRENMAT1,Strength of materials I
2025/2026,STRENMAT2,Strength of material II
2025/2026,STRFONGMP,Structure et fonctiont Grpe Moto Propulseur(GMP)
2025/2026,STUDIOPH1,Studio photo I
2025/2026,STUDIOPH2,Studio photo II 
2025/2026,STYLMODEL,Stylisme/Modélisme
2025/2026,SUIPREPOS,"Suivi Prénatal, Et Postnatal"
2025/2026,SUIVMANOE,Suivi et Manoeuvre
2025/2026,SUIVPRENA,Suivi-prénatal 
2025/2026,SURGPATHO,Surgical Pathologies
2025/2026,SURTHERAP,Surveillance therapeutique
2025/2026,SYSCARVAS,Système cardiovasculaire 
2025/2026,SYSELCAUT,Système electronique des vehicules automonile
2025/2026,SYSELEVEH,Système électronique véhicules automobiles et TPs
2025/2026,SYSGENURI,Système génito-urinaire (femme-homme) 
2025/2026,SYSHEAINF,Système health information
2025/2026,SYSINFGEO,Système d’information géographique
2025/2026,SYSINFSAN,Systeme d'information sanitaire
2025/2026,SYSNATSAN,Système national de santé / Politique de santé 
2025/2026,SYSTCONST,Systemes Constructifs
2025/2026,SYSTDIGES,Système digestif 
2025/2026,SYSTEXPL1,Système d’Exploitation I
2025/2026,SYSTEXPL2,Système d’Exploitation II
2025/2026,SYSTEXPLO,Système d’exploitation
2025/2026,SYSTINFO2,Système d’information II
2025/2026,SYSTINFOR,Système d’Information
2025/2026,SYSTLOGI1,Système Logistique I 
2025/2026,SYSTLOGI2,Système Logistique II 
2025/2026,SYSTMECA1,Systemes Mecaniques I
2025/2026,SYSTMECA2,Systemes Mecaniques II
2025/2026,SYSTRESPI,Système respiratoire 
2025/2026,SYSTTRANS,Système de transmission
2025/2026,TABMESPE1,Tableau de bord et mesure performance logistique I
2025/2026,TABMESPE2,Tableau de bord & mesure performance logistique II
2025/2026,TECEFFSPE,Techniques des effets spéciaux
2025/2026,TECHCARPE,Technical care specific 2
2025/2026,TECHCASPE,Technical care specific 1
2025/2026,TECHCONST,TECHNOLOGIE DE CONSTRUCTION
2025/2026,TECHEXPRE,Techniques d’Expression
2025/2026,TECHINTER,Technologie de l’internet
2025/2026,TECHLABOR,TECHNIQUE DE LABORATOIRE 
2025/2026,TECHMATER,Technologie Des Materiaux
2025/2026,TECHMESUR,TECHNIQUE DE MESURE 
2025/2026,TECHNICOM,Technique de Communication
2025/2026,TECHNINFC,Technology of Information and communication
2025/2026,TECHREALI,Technique de realisation
2025/2026,TECHREGUL,Technique de régulation
2025/2026,TECHSOIN1,TECHNIQUE SOINS SPECIFIQUE 1
2025/2026,TECHSOUDA,Technologie du soudage 
2025/2026,TECHTOPO1,Technologie Topométriques I
2025/2026,TECHTOPO2,Technologie topométriques II
2025/2026,TECHTOPO3,Technologie topométrique III
2025/2026,TECHTOPO4,Technologie topométrique IV
2025/2026,TECINFCOM,TIC
2025/2026,TECINFCOM2,TIC 2
2025/2026,TECINFCOM3,TIC 3
2025/2026,TECINFCOM4,TIC 4
2025/2026,TECINFFRI,Technologie des installations frigorifiques 
2025/2026,TECMICPRO,Technologie des microprocesseurs et TPs
2025/2026,TECPREHYG,Technique de prélèvement et hygiène du laboratoire
2025/2026,TECPROTRA,"Technique of production,transport and distribution"
2025/2026,TECSOICHI,Techniques de soins en Chirurgie
2025/2026,TECSOISPE,TECHNIQUE SOINS SPECIFIQUE 2
2025/2026,TECSYSTHE,Technologie des systèmes thermiques
2025/2026,TECTRAANA,Technique de transmission analogique
2025/2026,TECTRANUM,Technique de Transmissions numérique
2025/2026,TELECOMMU,Télécommunications
2025/2026,TELECONET,Telecommunication Networks
2025/2026,TELEDETE1,Télédétection I
2025/2026,TELEDETE2,Télédétection II
2025/2026,TELEDETEC,Teledetection Appliquee
2025/2026,TELEPHOIP,Téléphonie sur IP
2025/2026,TELEPRTC,Telephonie rtc
2025/2026,TELRTCRNI,Téléphonie (RTC/RNIS)
2025/2026,TGA 1,TGA I 
2025/2026,TGA 2,TGA II
2025/2026,THERAMONI,Therapeutic Monitoring
2025/2026,THERAPEUT,Therapeutic monitoring
2025/2026,THERMODIN,Thermodynamique
2025/2026,TISSAGE,Tissage
2025/2026,TOPANASIT,Topographie Et Analyse De Site
2025/2026,TOPOGPHY1,Topography I
2025/2026,TOPOGPHY2,Topography II
2025/2026,TOPOGRAP1,Topographie I
2025/2026,TOPOGRAP2,Topographie II
2025/2026,TOTQUAMAN,Total quality management
2025/2026,TOXICOLOG,TOXICOLOGIE 
2025/2026,TPBACTERI,TP bactériologie
2025/2026,TPBIOCHIM,TP Biochimie
2025/2026,TPCHIMANA,TP Chimie analytique
2025/2026,TPHEMATOL,TP Hématologie 
2025/2026,TPIMMUNOL,TP Immunologie
2025/2026,TPMACELE1,TP Machines électriques I 
2025/2026,TPMACELE2,TP Machines électriques II 
2025/2026,TPPARASIT,TP Parasitologie
2025/2026,TPPROTECH,TP de procede et technique de realisation
2025/2026,TPRESEAUX,TP Réseaux 
2025/2026,TPSANTE,TP santé
2025/2026,TPSCIMAT ,TP sciences des matériaux
2025/2026,TPSYNTHES,TP synthèse I 
2025/2026,TRACAGE,Traçage I
2025/2026,TRAFIBOPT,Transmission sur fibre optique
2025/2026,TRAITIMA1,Traitement d’image I
2025/2026,TRAITIMA2,Traitement d’image II
2025/2026,TRAITSIGN,Traitement du Signal
2025/2026,TRAMARFL1,Transport maritime et fluvial I 
2025/2026,TRAMARFL2,Transport maritime et fluvial II 
2025/2026,TRANSAER1,Transport aérien I 
2025/2026,TRANSAER2,Transport aérien II 
2025/2026,TRANSFER1,Transport ferroviaire I 
2025/2026,TRANSFER2,Transport ferroviaire II 
2025/2026,TRANSFSAN,Transfusion sanguine
2025/2026,TRANSPLAW,Transport law
2025/2026,TRANSROU1,Transport routier I 
2025/2026,TRANSROU2,Transport routier II 
2025/2026,TRANSTHER,Transfert thermique
2025/2026,TRAPERETD,Travaux personnels des etudiants
2025/2026,TRAPRACO1,Travaux pratique de confection I
2025/2026,TRAPRACO2,Travaux pratique de confection II
2025/2026,TRAPRACO3,Travaux Pratique de Confection III
2025/2026,TRAVDIRIG,Travaux dirigés (TD)
2025/2026,TRAVPRA,Travaux pratiques
2025/2026,TRAVPRATQ,Travaux Pratiques
2025/2026,TRAVSYNT1,Travaux de synthèse I
2025/2026,TRAVSYNT2,Travaux de synthèse II
2025/2026,TUTORIALS,Tutorials
2025/2026,TVAIRPP,TVA et IRPP
2025/2026,URBANISME,Urbanisme
2025/2026,URGENOBST,Urgences Obstéricales et néonatales
2025/2026,VACCINATI,Vaccination
2025/2026,VATANDTIT,Vat And Tit
2025/2026,VEILLETEC,Veille technologique
2025/2026,VIRO,Virology
2025/2026,VIROLOGIE,Virologie – VIH/SIDA
2025/2026,VOCAMEDIC,Vocabulaire médical
2025/2026,VOIRESDIV,Voiris et Réseaux divers
2025/2026,WAREHMANG,Warehouse management
2025/2026,WEBDESIGN,Web design
2025/2026,WELCOME,"Warm welcome, Guiding and Conseilling"
2025/2026,WORSUPMAN,Workshop supervisor Management
