annee,codsem,codfil,codniv,typjour,fourche,heure,codpro,codmat,jour,codsal
2025/2026,S011225-071225,HNDET,01,Mardi,13H-17H,4,GAKOM,ELECTRONA1,02,A11
2025/2026,S011225-071225,HNDET,01,Mercredi,13H-17H,4,GAKOM,CONSTDESI,03,B16
2025/2026,S011225-071225,HNDET,01,Samedi,08H-12H,4,NCMICHAEL,ENGLISH,06,A42
2025/2026,S011225-071225,HNDET,01,Samedi,13H-17H,4,YVFOTSO,BASELECIR,06,A22
2025/2026,S011225-071225,HNDET,01,Vendredi,13H-17H,4,YVFOTSO,CHEMISTRY,05,A31
2025/2026,S011225-071225,HNDET,02,Jeudi,08H-12H,4,HANGOMSI,TECPROTRA,04,A12
2025/2026,S011225-071225,HNDET,02,Jeudi,13H-17H,4,YVFOTSO,ELECTRONA3,04,A21
2025/2026,S011225-071225,HNDET,02,Mardi,08H-12H,4,YVFOTSO,ELECTRONA3,02,A21
2025/2026,S011225-071225,HNDET,02,Mardi,13H-17H,4,HANGOMSI,CMPSCIENS,02,A13
2025/2026,S011225-071225,HNDET,02,Mercredi,08H-12H,4,HANGOMSI,TECPROTRA,03,A12
2025/2026,S011225-071225,HNDET,02,Mercredi,13H-17H,4,YVFOTSO,ELECTRONA3,03,A21
2025/2026,S011225-071225,HNDET,02,Samedi,08H-12H,4,YVFOTSO,ELECTRONA3,06,A21
2025/2026,S011225-071225,HNDET,02,Samedi,13H-17H,4,YVFOTSO,ELECTRONA3,06,A21
2025/2026,S011225-071225,HNDET,02,Vendredi,08H-12H,4,YVFOTSO,ELECTRONA3,05,A21
2025/2026,S011225-071225,HNDET,02,Vendredi,13H-17H,4,HANGOMSI,TECPROTRA,05,A12
2025/2026,S011225-071225,IGL,01,Jeudi,08H-12H,4,HSBIBOUM,INTSYSINF,04,A43
2025/2026,S011225-071225,IGL,01,Jeudi,13H-17H,4,CHBRUKO,INFORMAT1,04,A33
2025/2026,S011225-071225,IGL,01,Lundi,08H-12H,4,ADMINISTR,TECINFCOM,01,A32
2025/2026,S011225-071225,IGL,01,Lundi,13H-17H,4,BIWALVEDE,OUTBUREAU,01,A13
2025/2026,S011225-071225,IGL,01,Mardi,08H-12H,4,JOKAMGA,MATMATIQ1,02,A11
2025/2026,S011225-071225,IGL,01,Mercredi,08H-12H,4,HSBIBOUM,INTSYSINF,03,A43
2025/2026,S011225-071225,IGL,01,Mercredi,13H-17H,4,HSBIBOUM,INTSYSINF,03,A43
2025/2026,S011225-071225,IGL,01,Samedi,08H-12H,4,JOKAMGA,MATMATIQ1,06,A11
2025/2026,S011225-071225,IGL,01,Vendredi,08H-12H,4,HSBIBOUM,INTSYSINF,05,A43
2025/2026,S011225-071225,IGL,01,Vendredi,13H-17H,4,HSBIBOUM,INTSYSINF,05,A43
